organism,reviewed_count,unreviewed_count,pdb_structures_count,organism_id,lineage,type,type_merge_microbes,superdomain,domain,kingdom,reviewed_count_radius,unreviewed_count_radius,pdb_structures_count_radius
Meleagris gallopavo,57,57,9,9103,Archelosauria; Archosauria; Aves; Chordata; Coelurosauria; Craniata; Dinosauria; Eukaryota; Euteleostomi; Galliformes; Galloanserae; Meleagridinae; Meleagris; Metazoa; Neognathae; Phasianidae; Saurischia; Theropoda; Vertebrata,Animal,Animal,Cellular Life,Eukaryota,Animal,4.259537945889915,4.259537945889915,1.692568750643269
Priestia megaterium,57,57,10,1404,Bacillaceae; Bacillales; Bacillati; Bacilli; Bacillota; Bacteria; Priestia,Bacteria,Microbial,Cellular Life,Bacteria,Monera,4.259537945889915,4.259537945889915,1.7841241161527712
Trypanosoma cruzi,57,57,13,5693,Discoba; Euglenozoa; Eukaryota; Kinetoplastea; Metakinetoplastina; Schizotrypanum; Trypanosoma; Trypanosomatida; Trypanosomatidae,other Eukaryota,Other Eukaryota,Cellular Life,Eukaryota,other Eukaryota,4.259537945889915,4.259537945889915,2.0342144725641096
Branchiostoma floridae,57,57,1,7739,Amphioxiformes; Branchiostoma; Branchiostomatidae; Cephalochordata; Chordata; Eukaryota; Leptocardii; Metazoa,Animal,Animal,Cellular Life,Eukaryota,Animal,4.259537945889915,4.259537945889915,0.5641895835477563
Cryptomeria japonica,56,56,1,3369,Conifers II; Cryptomeria; Cupressaceae; Cupressales; Embryophyta; Eukaryota; Pinidae; Pinopsida; Spermatophyta; Streptophyta; Tracheophyta; Viridiplantae,Plant,Plant,Cellular Life,Eukaryota,Plant,4.222008245644752,4.222008245644752,0.5641895835477563
Epstein-Barr virus (strain AG876),56,56,5,82830,Duplodnaviria; Epstein-Barr virus (strain GD1); Gammaherpesvirinae; Herpesvirales; Herviviricetes; Heunggongvirae; Lymphocryptovirus; Lymphocryptovirus humangamma4; Orthoherpesviridae; Peploviricota; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,4.222008245644752,4.222008245644752,1.2615662610100802
Epstein-Barr virus (strain GD1),56,56,14,10376,Duplodnaviria; Gammaherpesvirinae; Herpesvirales; Herviviricetes; Heunggongvirae; Lymphocryptovirus; Lymphocryptovirus humangamma4; Orthoherpesviridae; Peploviricota; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,4.222008245644752,4.222008245644752,2.111004122822376
Rhodomonas salina,56,56,7,52970,Cryptophyceae; Eukaryota; Pyrenomonadaceae; Pyrenomonadales; Rhodomonas,other Eukaryota,Other Eukaryota,Cellular Life,Eukaryota,other Eukaryota,4.222008245644752,4.222008245644752,1.4927053303604616
Alkalihalophilus pseudofirmus (strain ATCC BAA-2126 / JCM 17055 / OF4),56,56,4,398511,Alkalihalophilus; Bacillaceae; Bacillales; Bacillati; Bacilli; Bacillota; Bacteria,Bacteria,Microbial,Cellular Life,Bacteria,Monera,4.222008245644752,4.222008245644752,1.1283791670955126
Escherichia phage Mu,56,56,13,2681603,Caudoviricetes; Duplodnaviria; Heunggongvirae; Muvirus; Muvirus mu; Uroviricota; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,4.222008245644752,4.222008245644752,2.0342144725641096
Trypanosoma cruzi (strain CL Brener),55,55,6,353153,Discoba; Euglenozoa; Eukaryota; Kinetoplastea; Metakinetoplastina; Schizotrypanum; Trypanosoma; Trypanosomatida; Trypanosomatidae,other Eukaryota,Other Eukaryota,Cellular Life,Eukaryota,other Eukaryota,4.1841419359420025,4.1841419359420025,1.381976597885342
Blastomyces gilchristii (strain SLH14081),55,55,1,559298,Ajellomycetaceae; Ascomycota; Blastomyces; Dikarya; Eukaryota; Eurotiomycetes; Eurotiomycetidae; Fungi; Onygenales; Pezizomycotina,Fungi,Fungi,Cellular Life,Eukaryota,Fungi,4.1841419359420025,4.1841419359420025,0.5641895835477563
Comamonas testosteroni,55,55,13,285,Bacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Comamonas; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,4.1841419359420025,4.1841419359420025,2.0342144725641096
Staphylococcus epidermidis,55,55,5,1282,Bacillales; Bacillati; Bacilli; Bacillota; Bacteria; Staphylococcaceae; Staphylococcus,Bacteria,Microbial,Cellular Life,Bacteria,Monera,4.1841419359420025,4.1841419359420025,1.2615662610100802
Streptococcus thermophilus,54,54,10,1308,Bacillati; Bacilli; Bacillota; Bacteria; Lactobacillales; Streptococcaceae; Streptococcus,Bacteria,Microbial,Cellular Life,Bacteria,Monera,4.145929793656026,4.145929793656026,1.7841241161527712
Allochromatium vinosum (strain ATCC 17899 / DSM 180 / NBRC 103801 / NCIMB 10441 / D),54,54,12,572477,Allochromatium; Bacteria; Chromatiaceae; Chromatiales; Gammaproteobacteria; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,4.145929793656026,4.145929793656026,1.9544100476116797
Phoneutria nigriventer,54,54,1,6918,Arachnida; Araneae; Araneomorphae; Arthropoda; Chelicerata; Ctenidae; Ecdysozoa; Entelegynae; Eukaryota; Lycosoidea; Metazoa; Phoneutria,Animal,Animal,Cellular Life,Eukaryota,Animal,4.145929793656026,4.145929793656026,0.5641895835477563
Bungarus multicinctus,53,53,6,8616,Bifurcata; Bungarinae; Bungarus; Chordata; Colubroidea; Craniata; Elapidae; Episquamata; Eukaryota; Euteleostomi; Lepidosauria; Metazoa; Serpentes; Squamata; Toxicofera; Unidentata; Vertebrata,Animal,Animal,Cellular Life,Eukaryota,Animal,4.1073621666150775,4.1073621666150775,1.381976597885342
Plasmodium falciparum,53,53,12,5833,Aconoidasida; Alveolata; Apicomplexa; Eukaryota; Haemosporida; Plasmodiidae; Plasmodium; Plasmodium (Laverania); Sar,other Eukaryota,Other Eukaryota,Cellular Life,Eukaryota,other Eukaryota,4.1073621666150775,4.1073621666150775,1.9544100476116797
Papaver somniferum,53,53,7,3469,Embryophyta; Eukaryota; Magnoliopsida; Papaver; Papaveraceae; Papaveroideae; Ranunculales; Spermatophyta; Streptophyta; Tracheophyta; Viridiplantae,Plant,Plant,Cellular Life,Eukaryota,Plant,4.1073621666150775,4.1073621666150775,1.4927053303604616
Rhizobium meliloti,53,53,3,382,Alphaproteobacteria; Bacteria; Hyphomicrobiales; Pseudomonadota; Rhizobiaceae; Sinorhizobium; Sinorhizobium/Ensifer group,Bacteria,Microbial,Cellular Life,Bacteria,Monera,4.1073621666150775,4.1073621666150775,0.9772050238058398
Burkholderia cepacia,52,52,7,292,Bacteria; Betaproteobacteria; Burkholderia; Burkholderia cepacia complex; Burkholderiaceae; Burkholderiales; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,4.068428945128219,4.068428945128219,1.4927053303604616
Pectobacterium carotovorum subsp. carotovorum,52,52,3,555,Bacteria; Enterobacterales; Gammaproteobacteria; Pectobacteriaceae; Pectobacterium; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,4.068428945128219,4.068428945128219,0.9772050238058398
Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01),52,52,1,502779,Ajellomycetaceae; Ascomycota; Dikarya; Eukaryota; Eurotiomycetes; Eurotiomycetidae; Fungi; Onygenales; Paracoccidioides; Pezizomycotina,Fungi,Fungi,Cellular Life,Eukaryota,Fungi,4.068428945128219,4.068428945128219,0.5641895835477563
Beta vulgaris,51,51,1,161934,Beta; Betoideae; Caryophyllales; Chenopodiaceae; Embryophyta; Eukaryota; Gunneridae; Magnoliopsida; Pentapetalae; Spermatophyta; Streptophyta; Tracheophyta; Viridiplantae; eudicotyledons,Plant,Plant,Cellular Life,Eukaryota,Plant,4.029119531035698,4.029119531035698,0.5641895835477563
Actinobacillus pleuropneumoniae,51,51,3,715,Actinobacillus; Bacteria; Gammaproteobacteria; Pasteurellaceae; Pasteurellales; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,4.029119531035698,4.029119531035698,0.9772050238058398
Anas platyrhynchos,51,51,7,8839,Anas; Anatidae; Anatinae; Anseriformes; Archelosauria; Archosauria; Aves; Chordata; Coelurosauria; Craniata; Dinosauria; Eukaryota; Euteleostomi; Galloanserae; Metazoa; Neognathae; Saurischia; Theropoda; Vertebrata,Animal,Animal,Cellular Life,Eukaryota,Animal,4.029119531035698,4.029119531035698,1.4927053303604616
Methanococcus voltae,51,51,2,2188,Archaea; Methanobacteriati; Methanobacteriota; Methanococcaceae; Methanococcales; Methanococci; Methanococcus; Methanomada group,Archaea,Microbial,Cellular Life,Archaea,Monera,4.029119531035698,4.029119531035698,0.7978845608028654
Komagataella pastoris,51,51,3,4922,Ascomycota; Dikarya; Eukaryota; Fungi; Komagataella; Pichiaceae; Pichiales; Pichiomycetes; Saccharomycotina,Fungi,Fungi,Cellular Life,Eukaryota,Fungi,4.029119531035698,4.029119531035698,0.9772050238058398
Mesobuthus eupeus,51,51,8,34648,Arachnida; Arthropoda; Buthida; Buthidae; Buthoidea; Chelicerata; Ecdysozoa; Eukaryota; Mesobuthus; Metazoa; Scorpiones,Animal,Animal,Cellular Life,Eukaryota,Animal,4.029119531035698,4.029119531035698,1.5957691216057308
Malassezia globosa (strain ATCC MYA-4612 / CBS 7966),51,51,2,425265,Basidiomycota; Dikarya; Eukaryota; Fungi; Malassezia; Malasseziaceae; Malasseziales; Malasseziomycetes; Ustilaginomycotina,Fungi,Fungi,Cellular Life,Eukaryota,Fungi,4.029119531035698,4.029119531035698,0.7978845608028654
Nicotiana plumbaginifolia,50,50,2,4092,Embryophyta; Eukaryota; Gunneridae; Magnoliopsida; Nicotiana; Nicotianeae; Nicotianoideae; Pentapetalae; Solanaceae; Solanales; Spermatophyta; Streptophyta; Tracheophyta; Viridiplantae; asterids; eudicotyledons; lamiids,Plant,Plant,Cellular Life,Eukaryota,Plant,3.989422804014327,3.989422804014327,0.7978845608028654
Aggregatibacter actinomycetemcomitans,50,50,2,714,Aggregatibacter; Bacteria; Gammaproteobacteria; Pasteurellaceae; Pasteurellales; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,3.989422804014327,3.989422804014327,0.7978845608028654
Conus ventricosus,50,50,1,117992,Caenogastropoda; Conidae; Conoidea; Conus; Eukaryota; Gastropoda; Lautoconus; Lophotrochozoa; Metazoa; Mollusca; Neogastropoda; Spiralia,Animal,Animal,Cellular Life,Eukaryota,Animal,3.989422804014327,3.989422804014327,0.5641895835477563
Vibrio alginolyticus,50,50,3,663,Bacteria; Gammaproteobacteria; Pseudomonadota; Vibrio; Vibrionaceae; Vibrionales,Bacteria,Microbial,Cellular Life,Bacteria,Monera,3.989422804014327,3.989422804014327,0.9772050238058398
Haloferax mediterranei (strain ATCC 33500 / DSM 1411 / JCM 8866 / NBRC 14739 / NCIMB 2177 / R-4),49,49,3,523841,Archaea; Halobacteria; Halobacteriales; Haloferacaceae; Haloferax; Methanobacteriati; Methanobacteriota; Stenosarchaea group,Archaea,Microbial,Cellular Life,Archaea,Monera,3.949327084834294,3.949327084834294,0.9772050238058398
Ixodes scapularis,49,49,5,6945,Acari; Arachnida; Arthropoda; Chelicerata; Ecdysozoa; Eukaryota; Ixodes; Ixodida; Ixodidae; Ixodinae; Ixodoidea; Metazoa; Parasitiformes,Animal,Animal,Cellular Life,Eukaryota,Animal,3.949327084834294,3.949327084834294,1.2615662610100802
Spodoptera frugiperda,49,49,3,7108,Amphipyrinae; Arthropoda; Ditrysia; Ecdysozoa; Endopterygota; Eukaryota; Glossata; Hexapoda; Insecta; Lepidoptera; Metazoa; Neoptera; Noctuidae; Noctuoidea; Pterygota; Spodoptera,Animal,Animal,Cellular Life,Eukaryota,Animal,3.949327084834294,3.949327084834294,0.9772050238058398
Acanthamoeba castellanii,49,49,6,5755,Acanthamoeba; Acanthamoebidae; Amoebozoa; Centramoebida; Discosea; Eukaryota; Longamoebia,other Eukaryota,Other Eukaryota,Cellular Life,Eukaryota,other Eukaryota,3.949327084834294,3.949327084834294,1.381976597885342
Mycolicibacterium smegmatis,49,49,8,1772,Actinomycetes; Actinomycetota; Bacillati; Bacteria; Mycobacteriaceae; Mycobacteriales; Mycolicibacterium,Bacteria,Microbial,Cellular Life,Bacteria,Monera,3.949327084834294,3.949327084834294,1.5957691216057308
Rhodospirillum rubrum,49,49,7,1085,Alphaproteobacteria; Bacteria; Pseudomonadota; Rhodospirillaceae; Rhodospirillales; Rhodospirillum,Bacteria,Microbial,Cellular Life,Bacteria,Monera,3.949327084834294,3.949327084834294,1.4927053303604616
Proteus mirabilis,49,49,5,584,Bacteria; Enterobacterales; Gammaproteobacteria; Morganellaceae; Proteus; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,3.949327084834294,3.949327084834294,1.2615662610100802
Salmonella typhimurium (strain SL1344),48,48,4,216597,Bacteria; Enterobacterales; Enterobacteriaceae; Gammaproteobacteria; Pseudomonadota; Salmonella,Bacteria,Microbial,Cellular Life,Bacteria,Monera,3.9088200952233594,3.9088200952233594,1.1283791670955126
Claviceps purpurea (strain 20.1),48,48,1,1111077,Ascomycota; Claviceps; Clavicipitaceae; Dikarya; Eukaryota; Fungi; Hypocreales; Hypocreomycetidae; Pezizomycotina; Sordariomycetes,Fungi,Fungi,Cellular Life,Eukaryota,Fungi,3.9088200952233594,3.9088200952233594,0.5641895835477563
Schistosoma japonicum,48,48,1,6182,Digenea; Eukaryota; Lophotrochozoa; Metazoa; Platyhelminthes; Schistosoma; Schistosomatidae; Schistosomatoidea; Spiralia; Strigeidida; Trematoda,Animal,Animal,Cellular Life,Eukaryota,Animal,3.9088200952233594,3.9088200952233594,0.5641895835477563
Cannabis sativa,48,48,3,3483,Cannabaceae; Cannabis; Embryophyta; Eukaryota; Gunneridae; Magnoliopsida; Pentapetalae; Rosales; Spermatophyta; Streptophyta; Tracheophyta; Viridiplantae; eudicotyledons; fabids; rosids,Plant,Plant,Cellular Life,Eukaryota,Plant,3.9088200952233594,3.9088200952233594,0.9772050238058398
Antirrhinum majus,48,48,2,4151,Antirrhineae; Antirrhinum; Embryophyta; Eukaryota; Gunneridae; Lamiales; Magnoliopsida; Pentapetalae; Plantaginaceae; Spermatophyta; Streptophyta; Tracheophyta; Viridiplantae; asterids; eudicotyledons; lamiids,Plant,Plant,Cellular Life,Eukaryota,Plant,3.9088200952233594,3.9088200952233594,0.7978845608028654
Lymnaea stagnalis,48,48,1,6523,Eukaryota; Euthyneura; Gastropoda; Heterobranchia; Hygrophila; Lophotrochozoa; Lymnaea; Lymnaeidae; Lymnaeoidea; Metazoa; Mollusca; Panpulmonata; Spiralia,Animal,Animal,Cellular Life,Eukaryota,Animal,3.9088200952233594,3.9088200952233594,0.5641895835477563
Saimiri boliviensis boliviensis,47,47,1,39432,Cebidae; Chordata; Craniata; Euarchontoglires; Eukaryota; Euteleostomi; Eutheria; Haplorrhini; Mammalia; Metazoa; Platyrrhini; Primates; Saimiri; Saimiriinae; Vertebrata,Animal,Animal,Cellular Life,Eukaryota,Animal,3.8678889139475245,3.8678889139475245,0.5641895835477563
Bubalus bubalis,47,47,5,89462,Artiodactyla; Bovidae; Bovinae; Bubalus; Chordata; Craniata; Eukaryota; Euteleostomi; Eutheria; Laurasiatheria; Mammalia; Metazoa; Pecora; Ruminantia; Vertebrata,Animal,Animal,Cellular Life,Eukaryota,Animal,3.8678889139475245,3.8678889139475245,1.2615662610100802
Giardia intestinalis,47,47,3,5741,Diplomonadida; Eukaryota; Giardia; Giardiinae; Hexamitidae; Metamonada,other Eukaryota,Other Eukaryota,Cellular Life,Eukaryota,other Eukaryota,3.8678889139475245,3.8678889139475245,0.9772050238058398
Fragaria ananassa,47,47,4,3747,Embryophyta; Eukaryota; Fragaria; Fragariinae; Gunneridae; Magnoliopsida; Pentapetalae; Potentilleae; Rosaceae; Rosales; Rosoideae; Spermatophyta; Streptophyta; Tracheophyta; Viridiplantae; eudicotyledons; fabids; rosids,Plant,Plant,Cellular Life,Eukaryota,Plant,3.8678889139475245,3.8678889139475245,1.1283791670955126
Dichelobacter nodosus,47,47,1,870,Bacteria; Cardiobacteriaceae; Cardiobacteriales; Dichelobacter; Gammaproteobacteria; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,3.8678889139475245,3.8678889139475245,0.5641895835477563
Struthio camelus,47,47,4,8801,Archelosauria; Archosauria; Aves; Chordata; Coelurosauria; Craniata; Dinosauria; Eukaryota; Euteleostomi; Metazoa; Palaeognathae; Saurischia; Struthio; Struthionidae; Struthioniformes; Theropoda; Vertebrata,Animal,Animal,Cellular Life,Eukaryota,Animal,3.8678889139475245,3.8678889139475245,1.1283791670955126
Streptococcus pyogenes,47,47,14,1314,Bacillati; Bacilli; Bacillota; Bacteria; Lactobacillales; Streptococcaceae; Streptococcus,Bacteria,Microbial,Cellular Life,Bacteria,Monera,3.8678889139475245,3.8678889139475245,2.111004122822376
Ornithorhynchus anatinus,46,46,3,9258,Chordata; Craniata; Eukaryota; Euteleostomi; Mammalia; Metazoa; Monotremata; Ornithorhynchidae; Ornithorhynchus; Vertebrata,Animal,Animal,Cellular Life,Eukaryota,Animal,3.826519928662906,3.826519928662906,0.9772050238058398
Varicella-zoster virus (strain Oka vaccine),46,46,5,341980,Alphaherpesvirinae; Duplodnaviria; Herpesvirales; Herviviricetes; Heunggongvirae; Human herpesvirus 3; Orthoherpesviridae; Peploviricota; Varicellovirus; Varicellovirus humanalpha3; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,3.826519928662906,3.826519928662906,1.2615662610100802
Petromyzon marinus,46,46,4,7757,Chordata; Craniata; Cyclostomata; Eukaryota; Hyperoartia; Metazoa; Petromyzon; Petromyzontidae; Petromyzontiformes; Vertebrata,Animal,Animal,Cellular Life,Eukaryota,Animal,3.826519928662906,3.826519928662906,1.1283791670955126
Protobothrops flavoviridis,46,46,11,88087,Bifurcata; Chordata; Colubroidea; Craniata; Crotalinae; Episquamata; Eukaryota; Euteleostomi; Lepidosauria; Metazoa; Protobothrops; Serpentes; Squamata; Toxicofera; Unidentata; Vertebrata; Viperidae,Animal,Animal,Cellular Life,Eukaryota,Animal,3.826519928662906,3.826519928662906,1.8712051592547776
Human adenovirus C serotype 2,46,46,5,10515,Adenoviridae; Bamfordvirae; Human mastadenovirus C; Mastadenovirus; Preplasmiviricota; Rowavirales; Tectiliviricetes; Varidnaviria; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,3.826519928662906,3.826519928662906,1.2615662610100802
Gadus morhua,46,46,4,8049,Acanthomorphata; Actinopterygii; Chordata; Craniata; Eukaryota; Euteleostomi; Gadariae; Gadidae; Gadiformes; Gadoidei; Gadus; Metazoa; Neopterygii; Neoteleostei; Teleostei; Vertebrata; Zeiogadaria,Animal,Animal,Cellular Life,Eukaryota,Animal,3.826519928662906,3.826519928662906,1.1283791670955126
Leishmania infantum,46,46,2,5671,Discoba; Euglenozoa; Eukaryota; Kinetoplastea; Leishmania; Leishmaniinae; Metakinetoplastina; Trypanosomatida; Trypanosomatidae,other Eukaryota,Other Eukaryota,Cellular Life,Eukaryota,other Eukaryota,3.826519928662906,3.826519928662906,0.7978845608028654
Crotalus adamanteus,46,46,1,8729,Bifurcata; Chordata; Colubroidea; Craniata; Crotalinae; Crotalus; Episquamata; Eukaryota; Euteleostomi; Lepidosauria; Metazoa; Serpentes; Squamata; Toxicofera; Unidentata; Vertebrata; Viperidae,Animal,Animal,Cellular Life,Eukaryota,Animal,3.826519928662906,3.826519928662906,0.5641895835477563
Conus marmoreus,46,46,6,42752,Caenogastropoda; Conidae; Conoidea; Conus; Eukaryota; Gastropoda; Lophotrochozoa; Metazoa; Mollusca; Neogastropoda; Spiralia,Animal,Animal,Cellular Life,Eukaryota,Animal,3.826519928662906,3.826519928662906,1.381976597885342
Salmonella typhimurium (strain 14028s / SGSC 2262),46,46,10,588858,Bacteria; Enterobacterales; Enterobacteriaceae; Gammaproteobacteria; Pseudomonadota; Salmonella,Bacteria,Microbial,Cellular Life,Bacteria,Monera,3.826519928662906,3.826519928662906,1.7841241161527712
Thermostichus vulcanus,45,45,25,32053,Bacillati; Bacteria; Cyanobacteriota; Cyanophyceae; Thermostichaceae; Thermostichales; Thermostichus,Bacteria,Microbial,Cellular Life,Bacteria,Monera,3.7846987830302403,3.7846987830302403,2.8209479177387813
Alligator mississippiensis,45,45,2,8496,Alligator; Alligatoridae; Alligatorinae; Archelosauria; Archosauria; Chordata; Craniata; Crocodylia; Eukaryota; Euteleostomi; Metazoa; Vertebrata,Animal,Animal,Cellular Life,Eukaryota,Animal,3.7846987830302403,3.7846987830302403,0.7978845608028654
Giardia intestinalis (strain ATCC 50803 / WB clone C6),45,45,7,184922,Diplomonadida; Eukaryota; Giardia; Giardiinae; Hexamitidae; Metamonada,other Eukaryota,Other Eukaryota,Cellular Life,Eukaryota,other Eukaryota,3.7846987830302403,3.7846987830302403,1.4927053303604616
Aspergillus terreus,45,45,5,33178,Ascomycota; Aspergillaceae; Aspergillus; Aspergillus subgen. Circumdati; Dikarya; Eukaryota; Eurotiales; Eurotiomycetes; Eurotiomycetidae; Fungi; Pezizomycotina,Fungi,Fungi,Cellular Life,Eukaryota,Fungi,3.7846987830302403,3.7846987830302403,1.2615662610100802
Squalus acanthias,45,45,1,7797,Chondrichthyes; Chordata; Craniata; Elasmobranchii; Eukaryota; Metazoa; Squalidae; Squaliformes; Squalomorphii; Squalus; Vertebrata,Animal,Animal,Cellular Life,Eukaryota,Animal,3.7846987830302403,3.7846987830302403,0.5641895835477563
Thermus aquaticus,45,45,18,271,Bacteria; Deinococci; Deinococcota; Thermaceae; Thermales; Thermus,Bacteria,Microbial,Cellular Life,Bacteria,Monera,3.7846987830302403,3.7846987830302403,2.393653682408596
Agelena orientalis,45,45,1,293813,Agelena; Agelenidae; Arachnida; Araneae; Araneomorphae; Arthropoda; Chelicerata; Ecdysozoa; Entelegynae; Eukaryota; Metazoa,Animal,Animal,Cellular Life,Eukaryota,Animal,3.7846987830302403,3.7846987830302403,0.5641895835477563
Aspergillus niger (strain ATCC 1015 / CBS 113.46 / FGSC A1144 / LSHB Ac4 / NCTC 3858a / NRRL 328 / USDA 3528.7),44,44,2,380704,Ascomycota; Aspergillaceae; Aspergillus; Aspergillus subgen. Circumdati; Dikarya; Eukaryota; Eurotiales; Eurotiomycetes; Eurotiomycetidae; Fungi; Pezizomycotina,Fungi,Fungi,Cellular Life,Eukaryota,Fungi,3.742410318509555,3.742410318509555,0.7978845608028654
Streptomyces fradiae,44,44,5,1906,Actinomycetes; Actinomycetota; Bacillati; Bacteria; Kitasatosporales; Streptomyces; Streptomycetaceae,Bacteria,Microbial,Cellular Life,Bacteria,Monera,3.742410318509555,3.742410318509555,1.2615662610100802
Enterobacteria phage T3,44,44,1,10759,Autographiviridae; Caudoviricetes; Duplodnaviria; Heunggongvirae; Studiervirinae; Teetrevirus; Teetrevirus T3; Uroviricota; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,3.742410318509555,3.742410318509555,0.5641895835477563
Ipomoea batatas,44,44,4,4120,Convolvulaceae; Embryophyta; Eukaryota; Gunneridae; Ipomoea; Ipomoeeae; Magnoliopsida; Pentapetalae; Solanales; Spermatophyta; Streptophyta; Tracheophyta; Viridiplantae; asterids; eudicotyledons; lamiids,Plant,Plant,Cellular Life,Eukaryota,Plant,3.742410318509555,3.742410318509555,1.1283791670955126
Escherichia phage T5,44,44,18,2695836,Caudoviricetes; Demerecviridae; Duplodnaviria; Heunggongvirae; Markadamsvirinae; Tequintavirus; Tequintavirus T5; Uroviricota; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,3.742410318509555,3.742410318509555,2.393653682408596
Sulfolobus islandicus rod-shaped virus 1,43,43,4,157898,Adnaviria; Icerudivirus; Icerudivirus SIRV1; Ligamenvirales; Rudiviridae; Taleaviricota; Tokiviricetes; Viruses; Zilligvirae,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,3.6996385101659595,3.6996385101659595,1.1283791670955126
Salmonella typhimurium,43,43,5,90371,Bacteria; Enterobacterales; Enterobacteriaceae; Gammaproteobacteria; Pseudomonadota; Salmonella,Bacteria,Microbial,Cellular Life,Bacteria,Monera,3.6996385101659595,3.6996385101659595,1.2615662610100802
Cyriopagopus schmidti,43,43,8,29017,Arachnida; Araneae; Arthropoda; Chelicerata; Cyriopagopus; Ecdysozoa; Eukaryota; Metazoa; Mygalomorphae; Theraphosidae,Animal,Animal,Cellular Life,Eukaryota,Animal,3.6996385101659595,3.6996385101659595,1.5957691216057308
Saccharomyces cerevisiae,43,43,7,4932,Ascomycota; Dikarya; Eukaryota; Fungi; Saccharomyces; Saccharomycetaceae; Saccharomycetales; Saccharomycetes; Saccharomycotina,Fungi,Fungi,Cellular Life,Eukaryota,Fungi,3.6996385101659595,3.6996385101659595,1.4927053303604616
Candida tropicalis,43,43,4,5482,Ascomycota; Candida; Candida/Lodderomyces clade; Debaryomycetaceae; Dikarya; Eukaryota; Fungi; Pichiomycetes; Saccharomycotina,Fungi,Fungi,Cellular Life,Eukaryota,Fungi,3.6996385101659595,3.6996385101659595,1.1283791670955126
Physarum polycephalum,43,43,5,5791,Amoebozoa; Eukaryota; Eumycetozoa; Evosea; Myxogastria; Myxogastromycetidae; Physaraceae; Physariida; Physarum,other Eukaryota,Other Eukaryota,Cellular Life,Eukaryota,other Eukaryota,3.6996385101659595,3.6996385101659595,1.2615662610100802
Periplaneta americana,43,43,1,6978,Arthropoda; Blattidae; Blattinae; Blattodea; Blattoidea; Dictyoptera; Ecdysozoa; Eukaryota; Hexapoda; Insecta; Metazoa; Neoptera; Periplaneta; Polyneoptera; Pterygota,Animal,Animal,Cellular Life,Eukaryota,Animal,3.6996385101659595,3.6996385101659595,0.5641895835477563
Daboia siamensis,43,43,8,343250,Bifurcata; Chordata; Colubroidea; Craniata; Daboia; Episquamata; Eukaryota; Euteleostomi; Lepidosauria; Metazoa; Serpentes; Squamata; Toxicofera; Unidentata; Vertebrata; Viperidae; Viperinae,Animal,Animal,Cellular Life,Eukaryota,Animal,3.6996385101659595,3.6996385101659595,1.5957691216057308
Mastigocladus laminosus,42,42,14,83541,Bacillati; Bacteria; Cyanobacteriota; Cyanophyceae; Hapalosiphonaceae; Mastigocladus; Nostocales,Bacteria,Microbial,Cellular Life,Bacteria,Monera,3.656366395715726,3.656366395715726,2.111004122822376
Deinagkistrodon acutus,42,42,11,36307,Bifurcata; Chordata; Colubroidea; Craniata; Crotalinae; Deinagkistrodon; Episquamata; Eukaryota; Euteleostomi; Lepidosauria; Metazoa; Serpentes; Squamata; Toxicofera; Unidentata; Vertebrata; Viperidae,Animal,Animal,Cellular Life,Eukaryota,Animal,3.656366395715726,3.656366395715726,1.8712051592547776
Ixodes ricinus,42,42,6,34613,Acari; Arachnida; Arthropoda; Chelicerata; Ecdysozoa; Eukaryota; Ixodes; Ixodida; Ixodidae; Ixodinae; Ixodoidea; Metazoa; Parasitiformes,Animal,Animal,Cellular Life,Eukaryota,Animal,3.656366395715726,3.656366395715726,1.381976597885342
Podospora anserina,42,42,1,2587412,Ascomycota; Dikarya; Eukaryota; Fungi; Pezizomycotina; Podospora; Podosporaceae; Sordariales; Sordariomycetes; Sordariomycetidae,Fungi,Fungi,Cellular Life,Eukaryota,Fungi,3.656366395715726,3.656366395715726,0.5641895835477563
Onchocerca volvulus,42,42,3,6282,Chromadorea; Ecdysozoa; Eukaryota; Filarioidea; Metazoa; Nematoda; Onchocerca; Onchocercidae; Rhabditida; Spirurina; Spiruromorpha,Animal,Animal,Cellular Life,Eukaryota,Animal,3.656366395715726,3.656366395715726,0.9772050238058398
